Event Name,Event Description,Event Start Date,Event Start Time,Event End Date,Event End Time,All Day Event,Event Venue Name,Event Category,Event Website
Park Slope Food Coop: General Meeting,"The Coop’s monthly General Meeting, its decision-making body since 1973. Members only; every member who attends can vote. The agenda, with the location and how to attend, is posted about three weeks ahead.",2027-05-25,19:00,2027-05-25,,,See the GM agenda for the location,Food & Markets,https://www.foodcoop.com/gmagenda
Memorial Day — Schools Closed,,2027-05-31,,2027-05-31,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Last Day of School — 2026-27,,2027-06-28,,2027-06-28,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
CHiPS Free Monthly Food Distribution at PS 15,"Visit the CHiPS pantry van for free pantry items and fresh produce. Monthly on Fridays: 9/18, 10/16, 11/20 and 12/11. To volunteer, email volunteer@chipsonline.org. Ends 3:00 PM.",2026-09-18,13:30,2026-09-18,,,PS 15,Community,https://chipsonline.org
"Gowanus Canal Conservancy: Rain Garden Stewardship, Sponge Park and Bond Gardens","Volunteer shift caring for the rain gardens, 10 AM to 12 PM. Training and tools provided: trash pickup, invasive plant ID and weeding, pruning, curb cleaning and sweeping. No experience necessary. Ages 14 and up; younger volunteers with a parent or guardian.",2026-09-18,10:00,2026-09-18,,,Gowanus Dredgers Canoe Club Boathouse,Civic Associations,https://www.eventbrite.com/e/rain-garden-stewardship-sponge-park-bond-gardens-tickets-1998802326565
Gowanus Canal Conservancy: Habitat Hunt,20th Anniversary Fall Tour Series. Can urban landscapes have habitat that supports native flora and fauna? With Education Program Senior Manager Jen Kepler. Ends 6:30 PM.,2026-09-18,17:00,2026-09-18,,,,Civic Associations,https://gowanuscanalconservancy.org/events/
Old Stone House: BREAD AND PUPPET: The Upside Down World Circus (4:00 PM Show),The Bread and Puppet Circus returns to the Old Stone House! Ends 5:00 PM.,2026-09-18,16:00,2026-09-18,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/bread-and-puppet-the-upside-down-world-circus-tickets-1992772406913
Old Stone House: BREAD AND PUPPET: The Upside Down World Circus (8:00 PM Show),The Bread and Puppet Circus returns to the Old Stone House! Ends 9:00 PM.,2026-09-18,20:00,2026-09-18,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/bread-and-puppet-the-upside-down-world-circus-tickets-1992772418949
Carroll Park Fall Fair,"Friends of Carroll Park presents the Carroll Park Fall Fair: clothes, art and crafts, music and toys. All donations benefit Carroll Park. Ends 5:00 PM.",2026-09-19,10:00,2026-09-19,,,Carroll Park,Community,
Gowanus Canal Conservancy: Lowlands Nursery Orientation Shift,"For new nursery volunteers, 10 AM to 1 PM: potting up seedlings, labeling plants and weeding, with a guided walk through the native gardens with staff.",2026-09-19,10:00,2026-09-19,,,Lowlands Nursery,Civic Associations,https://www.eventbrite.com/e/lowlands-nursery-orientation-shifts-tickets-1998560624628
Gowanus Canal Conservancy: Street Tree Stewardship,"Volunteer shift on 3rd Street, 10 AM to 1 PM: weeding, soil cultivation, planting and watering the young street trees. Come as you are; training and tools provided.",2026-09-19,10:00,2026-09-19,,,Meet outside the GCC office,Civic Associations,https://www.eventbrite.com/e/street-tree-stewardship-tickets-1999413941923
Freddy’s Dog Fashion Show,Dog fashion show hosted by AbbyTheDogMom with emcee Colt Lightning. Fundraiser and adoption event for BADASS Animal Rescue. Ends 6:00 PM.,2026-09-19,14:00,2026-09-19,,,"5th Avenue between 17th & 18th Streets, Park Slope",Community,
Old Stone House: Bike Jumble: Fall 2026,It’s the annual Fall Bike Jumble! Ends 4:00 PM.,2026-09-19,10:00,2026-09-19,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/bike-jumble-fall-2026-tickets-1998388245036
Park Slope Open Streets: Fall into a Good Book,,2026-09-19,,2026-09-19,,1,5th Avenue,Civic Associations,https://www.parkslopeopenstreets.org/calendar
ASP Suspended — Yom Kippur,,2026-09-21,,2026-09-21,,1,,City Notices,
Yom Kippur — Schools Closed,,2026-09-21,,2026-09-21,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Old Stone House: Understanding NYC Government and How to Make a Difference,"Learn how NYC government works and how you can make an impact on issues that are important to you. Hosted by Mark A. Schneider, PhD. Ends 9:00 PM.",2026-09-23,19:00,2026-09-23,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/understanding-nyc-government-and-how-to-make-a-difference-tickets-1994096324787
NYC City Council Stated Meeting,,2026-09-23,13:30,2026-09-23,,,NYC City Hall,Government,https://legistar.council.nyc.gov/Calendar.aspx
BMT Advisory Task Force Meeting #6: Transportation and Blue Highways,Brooklyn Marine Terminal Advisory Task Force meeting on Transportation and Blue Highways. Virtual. 2:00–4:00 PM.,2026-09-24,14:00,2026-09-24,,,Virtual,Civic Associations,https://edc.nyc/brooklyn-marine-terminal-advisory-task-force
Grown-Up Bike Bus,Weekly group ride from Gowanus to the Upper East Side. Thursdays 8:00 AM.,2026-09-24,08:00,2026-09-24,,,Starts at Principles GI Coffee House,Community,https://principlesbk.nyc/upcoming-events
"Gowanus Canal Conservancy: Rain Garden Stewardship, 6th Street Green Corridor","Volunteer shift caring for the rain gardens, 10 AM to 12 PM. Training and tools provided: trash pickup, invasive plant ID and weeding, pruning, curb cleaning and sweeping. No experience necessary. Ages 14 and up; younger volunteers with a parent or guardian.",2026-09-25,10:00,2026-09-25,,,"22 2nd Avenue, Gowanus",Civic Associations,https://www.eventbrite.com/e/rain-garden-stewardship-6th-st-green-corridor-tickets-1998699523077
Gowanus Dawn Reading (10th Annual),"Tenth annual dawn reading on the Gowanus Canal: the poetry of Poe, read from canoes. An official Brooklyn Book Festival bookend event.",2026-09-25,07:45,2026-09-25,,,Gowanus Dredgers Boathouse,Arts & Culture,https://www.instagram.com/gowanusdredgers/
Vinyl Nights Presents Return to ’76 — New York Transit Museum,"One-night-only fundraiser marking 50 years of the New York Transit Museum, with the museum turned into a two-level vinyl dance party. Disco on the mezzanine with DJ Misbehaviour, funk and hip-hop on the platform with Operator Emz, and New Style Hustle lessons from 6 to 7 PM with Jeff Selby plus a DJ set by Miss Gypsy. Hosted by Rebecca Lynn, with a 1970s costume contest. Ticket includes admission and two drink tickets. Ends 9:00 PM.",2026-09-26,18:00,2026-09-26,,,New York Transit Museum,Civic Associations,https://www.nytransitmuseum.org/program/vinyl-nights/
Old Stone House: Brooklyn Pop-Up: Traditional Makers Fair,"Spotlighting textile arts, print design, glassblowing, ceramics, woodworking, weaving, knitting, crochet & more Ends 5:00 PM.",2026-09-26,10:00,2026-09-26,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/brooklyn-pop-up-traditional-makers-fair-tickets-1991001341609
Park Slope Super Stoop (2nd Annual),"Neighborhood-wide stoop sale presented by the Park Slope Civic Council. 11:00 AM–4:00 PM. Rain date Sunday, September 27.",2026-09-26,11:00,2026-09-26,,,Park Slope,Civic Associations,
ASP Suspended — Sukkot,,2026-09-26,,2026-09-26,,1,,City Notices,
Park Slope Open Streets: Park Slope Goes Green,,2026-09-26,,2026-09-26,,1,5th Avenue,Civic Associations,https://www.parkslopeopenstreets.org/calendar
Camp Friendship Brooklyn 1st Annual Pancake Breakfast,"All you can eat pancakes with sausage, coffee, orange juice and syrup, plus mimosas, a 50/50 raffle and T-shirts. Adults $20, kids and seniors $10. All proceeds fund Camp Friendship’s youth programs. Ends 11:30 AM.",2026-09-27,08:30,2026-09-27,,,Camp Friendship,Community,https://www.eventbrite.com/e/camp-friendship-brooklyn-1st-annual-pancake-breakfast-tickets-1996531782306
ASP Suspended — Sukkot,,2026-09-27,,2026-09-27,,1,,City Notices,
Atlantic Antic Street Festival,"Brooklyn’s oldest and largest street festival, presented by the Atlantic Avenue LDC. Food, crafts, family fun and free entertainment. Rain or shine. Ends 6:00 PM.",2026-09-27,12:00,2026-09-27,,,"Atlantic Avenue, Hicks Street to 4th Avenue",Civic Associations,https://www.atlanticave.org/atlanticantic
Park Slope Farmers Market,Year-round Sunday market. 9AM–2PM. Site host: Old Stone House.,2026-09-27,09:00,2026-09-27,,,Washington Park,Food & Markets,https://downtoearthmarkets.com/
Gowanus Canal Conservancy: Gowanus — Landscape in Transition,"20th Anniversary Fall Tour Series. How are green infrastructure, community advocacy and long-term stewardship reshaping Gowanus? With Executive Director Andrea Parker. Ends 7:30 PM.",2026-09-30,18:00,2026-09-30,,,,Civic Associations,https://gowanuscanalconservancy.org/events/
Free Flu Shots with Assemblymember Jo Anne Simon,"Free flu shots in partnership with NYU Langone Health. Insurance not required; you must be 18 or older. To schedule, use the form or contact Assemblymember Jo Anne Simon’s office at simonj@nyassembly.gov or 718-246-4889. Ends 6:00 PM.",2026-10-01,12:00,2026-10-01,,,NYU Langone—Cobble Hill Emergency Department,Civic Associations,https://forms.gle/9EH5G5w7Dk84MNkH9
Grown-Up Bike Bus,Weekly group ride from Gowanus to the Upper East Side. Thursdays 8:00 AM.,2026-10-01,08:00,2026-10-01,,,Starts at Principles GI Coffee House,Community,https://principlesbk.nyc/upcoming-events
Old Stone House: Classical For Kids,Classical pianist and parent Eleonor Bindman hosts this music listening event for families. Ends 4:00 PM.,2026-10-03,15:00,2026-10-03,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/classical-for-kids-tickets-1998691939394
ASP Suspended — Shemini Atzeret,,2026-10-03,,2026-10-03,,1,,City Notices,
Park Slope Open Streets: Park Slope Pet Day,,2026-10-03,,2026-10-03,,1,5th Avenue,Civic Associations,https://www.parkslopeopenstreets.org/calendar
Community Forum on the Brooklyn Marine Terminal,"Save the date: in-person community meeting on the future of the Brooklyn Marine Terminal, hosted by Resilient Red Hook. More details to come. 6:00–8:00 PM.",2026-09-28,18:00,2026-09-28,,,"Cabrini Hall, Sacred Hearts &amp; St. Stephen Church",Civic Associations,https://resilientredhook.com
76th Precinct Community Council Meeting,,2026-10-07,19:00,2026-10-07,,,76th Precinct,Public Safety,https://www.nyc.gov/site/nypd/bureaus/patrol/precincts/76th-precinct.page
NYC City Council Stated Meeting,,2026-10-07,13:30,2026-10-07,,,NYC City Hall,Government,https://legistar.council.nyc.gov/Calendar.aspx
ASP Suspended — Simchas Torah,,2026-10-04,,2026-10-04,,1,,City Notices,
BMT Advisory Task Force Meeting #7: BMT North #2,"Brooklyn Marine Terminal Advisory Task Force meeting, second session on BMT North. Virtual. 12:00–2:00 PM.",2026-10-08,12:00,2026-10-08,,,Virtual,Civic Associations,https://edc.nyc/brooklyn-marine-terminal-advisory-task-force
Gowanus Canal Conservancy: Nurturing Native Plants,20th Anniversary Fall Tour Series. What’s growing behind the fence on 9th St? A look at the native plant landscape with Lowlands Nursery staff. Ends 6:45 PM.,2026-10-08,17:30,2026-10-08,,,,Civic Associations,https://gowanuscanalconservancy.org/events/
Grown-Up Bike Bus,Weekly group ride from Gowanus to the Upper East Side. Thursdays 8:00 AM.,2026-10-08,08:00,2026-10-08,,,Starts at Principles GI Coffee House,Community,https://principlesbk.nyc/upcoming-events
Gowanus Canal Conservancy: Street Tree Stewardship,"Volunteer shift on 3rd Street, 10 AM to 1 PM: weeding, soil cultivation, planting and watering the young street trees. Come as you are; training and tools provided.",2026-10-10,10:00,2026-10-10,,,Meet outside the GCC office,Civic Associations,https://www.eventbrite.com/e/street-tree-stewardship-tickets-1998810900209
Park Slope Open Streets: Music in the Air,,2026-10-10,,2026-10-10,,1,5th Avenue,Civic Associations,https://www.parkslopeopenstreets.org/calendar
BKCM Grand Opening Parade: a musical march to the new campus,"A community celebration of the Brooklyn Conservatory of Music’s new campus. Join BKCM at 58 Seventh Avenue for a musical march to the new location, BKCM Prospect Park West. Ends 12:00 PM.",2026-10-11,10:00,2026-10-11,,,Starts at BKCM,Arts & Culture,https://bkcm.org/parade/
Old Stone House: Ensemble in Process: The Medieval Chronicles,Ticket link in description Ends 5:00 PM.,2026-10-11,15:30,2026-10-11,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/ensemble-in-process-the-medieval-chronicles-tickets-1992701661311
Pioneer Works: Second Sundays — October,,2026-10-11,12:00,2026-10-11,,,Pioneer Works,Arts & Culture,https://pioneerworks.org/series/second-sundays
Park Slope Farmers Market,Year-round Sunday market. 9AM–2PM. Site host: Old Stone House.,2026-10-11,09:00,2026-10-11,,,Washington Park,Food & Markets,https://downtoearthmarkets.com/
ASP Suspended — Italian Heritage / Indigenous Peoples' Day,,2026-10-12,,2026-10-12,,1,,City Notices,
Italian Heritage/Indigenous Peoples’ Day — Schools Closed,,2026-10-12,,2026-10-12,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Old Stone House: Life Drawing October 2026,"Join us for Life Drawing at OSH, enjoy a community of local artists in this session with a professional model. Ends 9:30 PM.",2026-10-13,19:00,2026-10-13,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/life-drawing-october-2026-tickets-1990938827628
Old Stone House: Understanding NYC Government and How to Make a Difference,"Learn how NYC government works and how you can make an impact on issues that are important to you. Hosted by Mark A. Schneider, PhD. Ends 9:00 PM.",2026-10-14,19:00,2026-10-14,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/understanding-nyc-government-and-how-to-make-a-difference-tickets-1994096332811
BKBP ULURP Public Hearing,,2026-10-14,18:00,2026-10-14,,,Brooklyn Borough Hall,Government,https://www.brooklynbp.nyc.gov/event/ulurp-public-hearing-meeting-9/
Gowanus Canal Conservancy: Gowanus — Landscape in Transition,"20th Anniversary Fall Tour Series. How are green infrastructure, community advocacy and long-term stewardship reshaping Gowanus? With Executive Director Andrea Parker. Ends 7:30 PM.",2026-10-15,18:00,2026-10-15,,,,Civic Associations,https://gowanuscanalconservancy.org/events/
Grown-Up Bike Bus,Weekly group ride from Gowanus to the Upper East Side. Thursdays 8:00 AM.,2026-10-15,08:00,2026-10-15,,,Starts at Principles GI Coffee House,Community,https://principlesbk.nyc/upcoming-events
Gowanus Canal Conservancy: Growing on the Gowanus (11:00 AM Tour),20th Anniversary Fall Tour Series. What does it take to care for a thriving landscape at the edge of the Canal? With Gardener Aun O’Brien.,2026-10-17,11:00,2026-10-17,,,,Civic Associations,https://gowanuscanalconservancy.org/events/
Gowanus Canal Conservancy: Growing on the Gowanus (1:00 PM Tour),20th Anniversary Fall Tour Series. What does it take to care for a thriving landscape at the edge of the Canal? With Gardener Aun O’Brien.,2026-10-17,13:00,2026-10-17,,,,Civic Associations,https://gowanuscanalconservancy.org/events/
Gowanus Canal Conservancy: Growing on the Gowanus (3:00 PM Tour),20th Anniversary Fall Tour Series. What does it take to care for a thriving landscape at the edge of the Canal? With Gardener Aun O’Brien.,2026-10-17,15:00,2026-10-17,,,,Civic Associations,https://gowanuscanalconservancy.org/events/
Kids Town Hall & Resource Fair with Senator Andrew Gounardes,"Q&A session for local students with their State Senator on issues and concerns important to young people; the mic is for students to ask questions, and a parent or guardian is required. Resource fair with Brooklyn Public Library (bring a library card or sign up), CEC 15, NYC Kids RISE, Cool Culture, CPR Community Basics from NYU Langone Health, and the Girl Scouts of Greater New York. Questions: 718-238-6044 or gounardes@nysenate.gov. Ends 4:00 PM.",2026-10-17,14:00,2026-10-17,,,M.S. 51 William Alexander,Civic Associations,https://forms.gle/X9u31RFcTGNg3tD17
Old Stone House: The Perfume of Grief,Essential Oils for Emotional Healing Ends 3:30 PM.,2026-10-17,13:00,2026-10-17,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/the-perfume-of-grief-tickets-1992394316033
Arts Gowanus Open Studios (30th Annual) — Day 1 of 2,30th Annual Arts Gowanus Open Studios. Visit artist studios throughout Gowanus. Noon–6:00 PM.,2026-10-17,12:00,2026-10-17,,,Gowanus,Arts & Culture,https://www.artsgowanus.org/gowanus-open-studios
Park Slope Open Streets: Who Moves New York,,2026-10-17,,2026-10-17,,1,5th Avenue,Civic Associations,https://www.parkslopeopenstreets.org/calendar
Brooklyn Bridge Park Harvest Festival,,2026-10-17,11:00,2026-10-17,,,Brooklyn Bridge Park,Parks & Open Space,https://brooklynbridgepark.org/event/harvest-festival/
General: last day to update address,,2026-10-19,,2026-10-19,,1,,Elections,
Old Stone House: Understanding NYC Government and How to Make a Difference,"Learn how NYC government works and how you can make an impact on issues that are important to you. Hosted by Mark A. Schneider, PhD. Ends 9:00 PM.",2026-10-21,19:00,2026-10-21,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/understanding-nyc-government-and-how-to-make-a-difference-tickets-1994096338829
NYC City Council Stated Meeting,,2026-10-21,13:30,2026-10-21,,,NYC City Hall,Government,https://legistar.council.nyc.gov/Calendar.aspx
BMT Advisory Task Force Meeting #8: Atlantic Basin #2,"Brooklyn Marine Terminal Advisory Task Force meeting, second session on Atlantic Basin. Virtual. 12:00–2:00 PM.",2026-10-22,12:00,2026-10-22,,,Virtual,Civic Associations,https://edc.nyc/brooklyn-marine-terminal-advisory-task-force
Grown-Up Bike Bus,Weekly group ride from Gowanus to the Upper East Side. Thursdays 8:00 AM.,2026-10-22,08:00,2026-10-22,,,Starts at Principles GI Coffee House,Community,https://principlesbk.nyc/upcoming-events
Gowanus Canal Conservancy: Street Tree Stewardship,"Volunteer shift on 3rd Street, 10 AM to 1 PM: weeding, soil cultivation, planting and watering the young street trees. Come as you are; training and tools provided.",2026-10-24,10:00,2026-10-24,,,Meet outside the GCC office,Civic Associations,https://www.eventbrite.com/e/street-tree-stewardship-tickets-1998810902215
General: voter reg deadline · mail ballot request deadline · Early Voting opens,,2026-10-24,,2026-10-24,,1,,Elections,
🗳 Early Voting · 9AM–5PM,,2026-10-24,,2026-10-24,,1,,Elections,https://bkcb6.app/poll-finder-bk.html
Park Slope Open Streets: Movement & Health,,2026-10-24,,2026-10-24,,1,5th Avenue,Civic Associations,https://www.parkslopeopenstreets.org/calendar
🗳 Early Voting · 9AM–5PM,,2026-10-26,,2026-10-26,,1,,Elections,https://bkcb6.app/poll-finder-bk.html
🗳 Early Voting · 8AM–4PM,,2026-10-29,,2026-10-29,,1,,Elections,https://bkcb6.app/poll-finder-bk.html
